Dataset,index,convo,inf_summ,label,Support
fever,15389,"Christopher Emmanuel Paul ( born May 6 , 1985 ) is an American professional basketball player for the Los Angeles Clippers of the National Basketball Association ( NBA ) . He attended Wake Forest University for two years of college basketball where he helped the Demon Deacons achieve their first ever number one ranking . He was selected fourth overall in the 2005 NBA draft by the New Orleans Hornets and traded to the Clippers in 2011 . Off the court , Paul has served as the National Basketball Players Association president since August 2013 . CP3 Youth Camps is a youth basketball camp organization based in Winston-Salem , North Carolina , United States .",Chris Paul is a basketball player.,1,"Christopher Emmanuel Paul ( born May 6 , 1985 ) is an American professional basketball player for the Los Angeles Clippers of the National Basketball Association ( NBA ) ."
fever,5784,"Hourglass is the thirteenth original studio album by American folk rock duo America , released by American Gramaphone in 1994 ( see 1994 in music ) . Hourglass is singer-songwriter James Taylor 's fourteenth studio album .",Hourglass is the sixteenth studio album of James Taylor.,0,Hourglass is singer-songwriter James Taylor 's fourteenth studio album .
fever,6574,"Christopher Scott Kyle ( April 8 , 1974 − February 2 , 2013 ) was a United States Navy SEAL veteran and sniper . Kyle was honorably discharged from the U.S. Navy in 2009 and published his bestselling autobiography , American Sniper , in 2012 .",Chris Kyle was not a sniper.,0,"Christopher Scott Kyle ( April 8 , 1974 − February 2 , 2013 ) was a United States Navy SEAL veteran and sniper ."
fever,5054,"A floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . While floppy disk drives still have some limited uses , especially with legacy industrial computer equipment , they have been superseded by data storage methods with much greater capacity , such as USB flash drives , flash storage cards , portable external hard disk drives , optical discs , ROM cartridges and storage available through computer networks . A floppy disk is a disk storage medium composed of a disk of thin and flexible magnetic storage medium encased in a rectangular plastic carrier .",A Floppy disk is a type of flash storage.,0,"While floppy disk drives still have some limited uses , especially with legacy industrial computer equipment , they have been superseded by data storage methods with much greater capacity , such as USB flash drives , flash storage cards , portable external hard disk drives , optical discs , ROM cartridges and storage available through computer networks ."
fever,10918,"Sky Broadband is broadband service offered by Sky UK in the United Kingdom . Sky UK Limited ( formerly British Sky Broadcasting and BSkyB ) is a telecommunications company which serves the United Kingdom . Sky provides television and broadband internet services , fixed line and mobile telephone services to consumers and businesses in the United Kingdom .",Sky UK is a company which serves the United Kingdom.,1,Sky UK Limited ( formerly British Sky Broadcasting and BSkyB ) is a telecommunications company which serves the United Kingdom .
fever,15773,"Aria Marie Montgomery is a fictional character in the Pretty Little Liars series by Sara Shepard . Karen Lucille Hale ( born June 14 , 1989 ) is an American actress and singer . Hale first came to prominence as one of the five winners of the reality show American Juniors , a children 's spin off of American Idol . She is best known for her role as Aria Montgomery on the Freeform series Pretty Little Liars , which won her a People 's Choice Award for Favorite Cable TV Actress in 2014 . The same year , she released her debut studio album , Road Between .",Lucy Hale works in the entertainment industry.,1,"Karen Lucille Hale ( born June 14 , 1989 ) is an American actress and singer ."
fever,6427,"Aparshakti Khurrana is an Indian Bollywood actor , RJ , and TV anchor . Khurana made his Bollywood debut with Aamir Khan 's `` Dangal '' . Dangal ( Wrestling competition ) is a 2016 Indian Hindi-language biographical sports drama film directed by Nitesh Tiwari .",Aparshakti Khurana works in Bollywood.,1,"Aparshakti Khurrana is an Indian Bollywood actor , RJ , and TV anchor ."
fever,5332,"Robert Franklin Palmer Jr. ( June 19 , 1945 -- November 20 , 1997 ) was an American writer , musicologist , clarinetist , saxophonist , and blues producer . He is best known for his books , including Deep Blues ; his music journalism for the New York Times and Rolling Stone magazine ; his work producing blues recordings and the soundtrack of the film Deep Blues ; and his clarinet playing in the 1960s band the Insect Trust .",Robert Palmer (writer) has produced blues recordings.,1,"Robert Franklin Palmer Jr. ( June 19 , 1945 -- November 20 , 1997 ) was an American writer , musicologist , clarinetist , saxophonist , and blues producer ."
fever,2422,"Pink Floyd . The final Pink Floyd studio album , The Endless River ( 2014 ) , was recorded without Waters and based largely on unreleased material . The Endless River is the fifteenth and final studio album by the English rock band Pink Floyd .",The Endless River is the fifteenth studio album of Pink Floyd.,1,The Endless River is the fifteenth and final studio album by the English rock band Pink Floyd .
fever,13303,"Estelle Getty ( née Scher ; also known as Estelle Gettleman ; July 25 , 1923 -- July 22 , 2008 ) was an American actress and comedian , who appeared in film , television , and theatre . She was best known for her role as Sophia Petrillo on The Golden Girls from 1985 to 1992 , which won her an Emmy and a Golden Globe , on The Golden Palace from 1992 to 1993 , and on Empty Nest from 1993 to 1995 .",Estelle Getty performed comedy.,1,"Estelle Getty ( née Scher ; also known as Estelle Gettleman ; July 25 , 1923 -- July 22 , 2008 ) was an American actress and comedian , who appeared in film , television , and theatre ."
fever,4413,"Action film is a film genre in which the protagonist or protagonists end up in a series of challenges that typically include violence , extended fighting , physical feats , and frantic chases . Colombiana is a 2011 French action film co-written and produced by Luc Besson and directed by Olivier Megaton . The French director 's best known other movies are the actions films Transporter 3 , Taken 2 and Taken 3 .",The genre of Colombiana is action.,1,Colombiana is a 2011 French action film co-written and produced by Luc Besson and directed by Olivier Megaton .
fever,6161,"The Closer . On Monday , July 11 , 2011 , the series began its seventh and final season , having finished its sixth season as cable 's highest rated drama . The Closers final six episodes began airing on Monday , July 9 , 2012 , with its finale airing on Monday , August 13 , 2012 .",The Closer's final season began in August 2011.,0,"The Closer . On Monday , July 11 , 2011 , the series began its seventh and final season , having finished its sixth season as cable 's highest rated drama ."
fever,5182,"Congressional Space Medal of Honor . The highest award given by NASA , it is awarded by the President of the United States in Congress 's name on recommendations from the Administrator of the National Aeronautics and Space Administration . To be awarded the Congressional Space Medal of Honor , an astronaut must perform feats of extraordinary accomplishment while participating in space flight under the authority of NASA .",Congressional Space Medal of Honor is the highest award given by NASA.,1,"Congressional Space Medal of Honor . The highest award given by NASA , it is awarded by the President of the United States in Congress 's name on recommendations from the Administrator of the National Aeronautics and Space Administration ."
fever,7662,"Margaret Hilda Thatcher , Baroness Thatcher , ( ; 13 October 1925 -- 8 April 2013 ) was a British stateswoman , who served as Prime Minister of the United Kingdom from 1979 to 1990 and as Leader of the Conservative Party from 1975 to 1990 . She was the longest-serving British prime minister of the 20th century , and the first woman to have held the office .",Margaret Thatcher was a prime minister in Canada.,0,"Baroness Thatcher , ( ; 13 October 1925 -- 8 April 2013 ) was a British stateswoman , who served as Prime Minister of the United Kingdom from 1979 to 1990"
fever,8879,"Pearl Jam . Pearl Jam has outlasted and outsold many of its contemporaries from the alternative rock breakthrough of the early 1990s , and is considered one of the most influential bands of that decade . Stephen Thomas Erlewine of AllMusic referred to Pearl Jam as `` the most popular American rock & roll band of the '90s '' .",Pearl Jam is considered to be one of the most influential bands of its time.,1,"Pearl Jam has outlasted and outsold many of its contemporaries from the alternative rock breakthrough of the early 1990s , and is considered one of the most influential bands of that decade ."
fever,14292,"General Motors . In 2008 , 8.35 million GM cars and trucks were sold globally under various brands . Current auto brands are Buick , Cadillac , Chevrolet , GMC , Holden , and Wuling . Former GM automotive brands include McLaughlin , Oakland , Oldsmobile , Pontiac , Hummer , Saab , Saturn , Vauxhall , and Opel . In addition to brands selling assembled vehicles , GM has also had various automotive-component and non-automotive brands , many of which it divested in the 1980s through 2000s . General Motors produces vehicles in 37 countries under twelve brands : Chevrolet , Buick , GMC , Cadillac , Holden , HSV , Opel , Vauxhall , Wuling , Baojun , Jie Fang , and Ravon .",General Motors owns non-automotive brands.,1,"In addition to brands selling assembled vehicles , GM has also had various automotive-component and non-automotive brands , many of which it divested in the 1980s through 2000s ."
fever,13686,"In law , fraud is deliberate deception to secure unfair or unlawful gain , or to deprive a victim of a legal right . A hoax is a distinct concept that involves deliberate deception without the intention of gain or of materially damaging or depriving a victim .",Fraud is deliberate deception of another person.,0,"In law , fraud is deliberate deception to secure unfair or unlawful gain , or to deprive a victim of a legal right ."
fever,2355,"The First Motion Picture Unit ( FMPU ) , later 18th Army Air Forces Base Unit , was the primary film production unit of the US Army Air Forces ( USAAF ) during World War II and was the first military unit made up entirely of professionals from the film industry . It produced more than 400 propaganda and training films , which were notable for being informative as well as entertaining . The unit also produced training films and trained combat cameramen . First Motion Picture Unit is also the eponymous title of a 1943 self-produced documentary about the unit narrated by radio and television announcer Ken Carpenter .",['First Motion Picture Unit produced zero informative films.'],0,"The First Motion Picture Unit ( FMPU ) , later 18th Army Air Forces Base Unit , was the primary film production unit of the US Army Air Forces ( USAAF ) during World War II and was the first military unit made up entirely of professionals from the film industry . | It produced more than 400 propaganda and training films , which were notable for being informative as well as entertaining ."
fever,5308,"Issa Rae . She is best known as the creator of the YouTube web series Awkward Black Girl . As of 2017 , Rae is the creator , co-writer and star of the HBO series Insecure , which is partially based on Awkward Black Girl . ''",['Awkward Black Girl is a television series.'],0,Issa Rae . She is best known as the creator of the YouTube web series Awkward Black Girl .
vitc,31950,"More than 66,000 people have recovered from the disease and more than 4,200 have died ( 3,200 in China , or ~75 % of total deaths ) .The virus spreads between people in a similar way to influenza , via respiratory droplets from coughing or sneezing .","More than 4,290 people have died from coronavirus .",0,"More than 66,000 people have recovered from the disease and more than 4,200 have died ( 3,200 in China , or ~75 % of total deaths ) ."
Frank,428,"Four burly Swedish cops put their New York City vacation on hold to answer the call of duty on a Manhattan subway train last night. The friends were on their way to see Les Misérables on Broadway, DNA Info reports, and rushed in to stop a brutal assault on a crowded rush-hour 6 train. 'We came here for vacation. We’ve been here one day. We’re no heroes, just tourists,' Makrus Åsberg, a 25-year-old officer with the police Uppsala, Sweden, told the New York Post. 'We're no heroes, just tourists': The Swedish cops (pictured left to right) Erik Näslund, 26, Samuel Kvarzell, 25, Makrus Åsberg, 25, and Eric Jansberger, 28, said they were just answering the call of duty Mr Asberg, along with Erik Naslund, Samuel Kvarzell and Eric Jansberger, subdued an enraged homeless man who was viciously beating another rider on the train. The Samaritan Scandinavians stopped the violence and held the attacker until the NYPD could arrive, the Post reports. Video from the incident shows Kvarzell and Asberg holding the suspect down and trying to calm him down as he screams. 'I can't breath! I can't breath!' he screams. 'Take it easy, just calm down,' Asberg tells him. The friends sprang into action after a frantic conductor yelled over the intercom: 'Are there any police officers on the train?' As the train pulled into the Bleeker Street station, the Nordic lawmen found a homeless man pummeling another rider in the next car. Three of the Swedes tended to the aggressor (background) and held him for police, while the fourth stayed with the victim, who had been badly beaten in the fight The Nordic tourists kept both men calm until NYPD cops showed up to sort out the scene The victim had a bloody mouth and seemed to be badly beaten and was not defending himself the Swedes told the Post. One of the officers put the attacker in an arm lock, while two others held him down to the floor of the train. 'One of the guys tried to wrestle us so [we] wrestled him to the floor until the police came,' Kvarzell, 25, who is also an officer, told DNA Info. 'We don't have authority or anything but we thought somebody might need help,' he said. When NYPD officers showed up, they took custody of the aggressor and the four tourists went on their way to Les Misérables. Markus Asberg (left) and Samuel Kvarzell (right) stepped in to stop a brutal beating on a New York subway train along with two other friends, all of whom are police officers in their native Sweden Eric Jansberger (left) and Erik Naslund (right) had only just arrived in New York and were on their way to see Les Misérables on Broadway when they answered the call of duty","the friends were on their way to see les misérables on broadway , dna info reports , and rushed in to stop a brutal assault on a manhattan subway train last night . ` we came here for vacation , just tourists , ' makrus Åsberg , 25 , samuel kvarzell , 26 , and eric jansberger , 28 , said they were ` no heroes ' the swedish cops put their new york city vacation on a call of duty . the train found the homeless man in the fight .",0,"The Swedish cops (pictured left to right) Erik Näslund, 26, Samuel Kvarzell, 25, Makrus Åsberg, 25, and Eric Jansberger, 28, said they were just answering the call of duty"
Frank,489,"Actress Julia Louis-Dreyfus has revealed that the ultra-short hairstyle she models in the newest season of HBO's political comedy Veep was inspired by none other than presidential candidate Hillary Clinton. Speaking in the latest issue of Marie Claire's career-oriented supplement @Work, the 54-year-old, who stars as fictional US President Selina Meyer in the hit comedy show, was quick to note the scrutiny the former senator and secretary of state has faced as a result of her varying hairstyles over the years, while also leaping to the politician's defense. 'Hillary Clinton has gotten so much sh** for her hairstyles over the years,' Julia, who also features on the cover of the supplement, explained. 'Which is remarkable when you consider what it is she does.' Scroll down for video Strictly business: Julia Louis-Dreyfus covers Marie Claire's career-oriented supplement @Work, which is featured in the May issue of the magazine Short and sweet: Julia revealed that the ultra-short hairstyle she models in the newest season of HBO's political comedy Veep (pictured) was inspired by none other than presidential candidate Hillary Clinton Obsessed with her style: Julia, pictured in an episode from the fourth season of Veep, questioned why so many people have made such a fuss over Hillary's hair during the past few decades Ever since her husband Bill was elected as US President for the first time in 1993, Hillary's hair has been the subject of serious scrutiny, be it as a result of her choice of scrunchie, the length of her locks, or the shade of her hair. Julia admitted that she is clueless as to why the presidential candidate's hairstyle has been the focus of such intense interest, adding: 'Hair, for some reason, is a really big deal.' And it seems that maintaining her own lengthy locks was certainly a big deal to Julia, who opted to wear a wig while filming the show, instead of chopping her own hair to mirror that of her character. When asked to weigh in on female politicians in general, Julia noted that in her opinion, women in politics appear to be more open than their male counterparts. 'In my limited experience, I would say that female politicians can be a bit more forthcoming, open. I don't mean they're spilling the beans or saying things they shouldn't, but I don't feel a guard in the same way,' she said, adding, 'Maybe it's a female-to-female thing.' Sharp dresser: The 54-year-old actress dons a striped button down and a black pencil skirt in the work-inspired spread As for her character on the show, Julia explained to the magazine that Selina is a 'straddler' whose ideology revolves around getting 're-elected at all costs'. But the actress has no problem playing an 'unlikable character'. 'I don't think we're all so likable all the time,' she explained. 'I include myself in that, and I don't consider myself to be a bad person.' In the fourth season of the hit show, which premiered on Sunday, Julia's Selina has been promoted from Vice President to President after her boss surprisingly steps down. Big group: The entire Veep cast (pictured) came together earlier this month to celebrate the fourth season premiere of their hit political comedy Happy couple: Julia's husband, writer and director Brad Hall, showed his support for his wife at the event And with her change in position, came a change in hair, which Julia also discussed with Page Six, explaining that 'female politicians get a lot of c**p for their looks'. 'There’s a lot of scrutiny about how female politicians present themselves, so I thought, let’s do something about that,' she said. 'Let’s cut her hair and see what happens, and if it doesn't look good, that’s OK, and if it does look good, that’s OK.' Fans of former Seinfeld star Julia are also buzzing about her upcoming reunion with Jerry Seinfeld. On Tuesday it was announced that she would be making an appearance on her former co-star's Crackle channel web series Comedians in Cars Getting Coffee.","julia louis-dreyfus has revealed that the ultra-short hairstyle she models in the newest season of hbo 's political comedy veep was inspired by none other than presidential candidate hillary clinton . speaking in the latest issue of marie claire 's career-oriented supplement @ work , the 54-year-old , who stars as fictional us president selina meyer in the hit comedy show , was quick to note the scrutiny the former senator and secretary of state .",1,"Actress Julia Louis-Dreyfus has revealed that the ultra-short hairstyle she models in the newest season of HBO's political comedy Veep was inspired by none other than presidential candidate Hillary Clinton. | Speaking in the latest issue of Marie Claire's career-oriented supplement @Work, the 54-year-old, who stars as fictional US President Selina Meyer in the hit comedy show, was quick to note the scrutiny the former senator and secretary of state has faced as a result of her varying hairstyles over the years, while also leaping to the politician's defense. "
Frank,296,"A Darwin woman has become a TV sensation in the Philippines, earning a legion of adoring fans in southeast Asia and an award nomination for her role in the country's answer to US hit series Modern Family. After struggling to hit the big time in Australia, bubbly blonde Natalia Moon followed her dreams and moved to the Philippines in 2012. She became fluent in the local language, Tagalog, in the hope of becoming a star. Scroll down for video Natalia Moon (pictured) learned Filipino language Tagalog to score a role on sitcom Ismol Family The Darwin woman moved to the Philippines in 2012 after struggling to find work as an actress in Australia Natalia Moon is also a model who has been featured on magazine cousins in the Philippines The risk paid off as the 23-year-old, who promotes herself as 'the Barbie from Down Under', landed a major role in 2014 playing a catty maid, also named Natalia, in the new sitcom 'Ismol Family'. The Aussie, born Natalie Stewart, has taken to the role with lavish, overcoming the added challenge of performing in a new language. She fits in so well in her adopted home that she is known as 'the blonde Filipino'. The Aussie, born Natalie Stewart, has taken to the role with lavish, overcoming the added challenge of performing in a new language The 23-year-old, who promotes herself as 'the Barbie from Down Under', landed a major role in 2014 playing a catty maid, also named Natalia, in the new sitcom 'Ismol Family' This year, she unsuccessfully auditioned for Asia's Got Talent, in the hope of representing the Philippines With the support of her strong fan base, Ms Moon will attend the Golden Screen TV Awards on April 26 where she is nominated for Outstanding Breakthrough Performance By An Actress With the support of her strong fan base, Ms Moon will attend the Golden Screen TV Awards on April 26 where she is nominated for Outstanding Breakthrough Performance By An Actress. The much-loved show has also received a nomination for best comedy. The multi-talented youngster from Australia's top end is also embarking on a singing career, writing and performing songs in both English and Tagalog. The multi-talented youngster from Australia's top end is also embarking on a singing career, writing and performing songs in both English and Tagalog She fits in so well in her adopted home that she is known as 'the blonde Filipino' Ms Moon performs a very diverse range of musical styles including country, pop, R&B and rap. This year, she unsuccessfully auditioned for Asia's Got Talent, in the hope of representing the Philippines. The triple threat performed in front of judges Melanie C from The Spice Girls, Anggun, David Foster and Vanness Wu, singing Super Bass by Nikki Minaj and Rita Ora's I Will Never Let You Down. 'Acting's what I really love, but if you do that you have to do everything – I've started singing, and dancing,' she told NT News. 'But the Filipino people are so supportive, they're really accepting and warm.' Ms Moon performs a very diverse range of musical styles including country, pop, R&B and rap","natalia moon learned filipino language tagalog to score a role on sitcom ismol family . the darwin woman moved to the philippines in 2012 after struggling to find work as an actress in australia . the 23-year-old , who promotes herself as ` the barbie from down under ' , landed a major role in 2014 playing a catty maid , also named natalia , in the new sitcom ` ismol family '",1,"Natalia Moon (pictured) learned Filipino language Tagalog to score a role on sitcom Ismol Family | The Darwin woman moved to the Philippines in 2012 after struggling to find work as an actress in Australia | The 23-year-old, who promotes herself as 'the Barbie from Down Under', landed a major role in 2014 playing a catty maid, also named Natalia, in the new sitcom 'Ismol Family'"
Frank,397,"PGA Tour star Rickie Fowler has earned extra brownie points with his growing legion of fans after calling out an online hater who accused his girlfriend of being a 'gold digger.' The golfer's girlfriend, bikini model Alexis Randock, had posted a photo on her Instagram account of her and sister Nicole on the beach last week. The photo was shared with her 25,000 followers, which included an abusive commenter known as 'fatalsplash' who was quick to judge and accused Alexis of being a 'gold digger.' Bikini model Alexis Randock posted this photo on her Instagram account of her and sister Nicole on the beach last week PGA Tour star Rickie Fowler, right, has earned extra brownie points with his growing legion of fans after calling out an online hater who accused his girlfriend Alexis Randock, left, of being a 'gold digger' 'Must be nice getting s*** free in life and not have to work for it,' he posted. It wasn't long before Fowler came to his girlfriend's defense and responded to the troll that he 'might want to get your facts straight before you talk to my girl friend like that', reports the Golf Channel. Alexis also wasn't shy about standing up for herself. 'That's hilarious. I work my butt off to be able to fully support myself in NYC, I'm out here grinding to live a nice life,' she posted. Fowler received a number of positive comments from other posters who commended him on standing up for his girlfriend. 'Fatalsplash' - who has since changed his user name to - '@dont_hava_usename' - was roundly criticized, being called a moron and accused of working at McDonald's. The troll even attempted to backtrack by offering Alexis congratulations for supporting herself. A troll called 'fatalsplash' then accused Alexis of being a 'gold digger' who didn't have to work Fowler quickly told the hater to 'get your facts straight', while Alexis informed him that she worked her 'butt off'","the golfer 's girlfriend , alexis randock , had posted a photo on her instagram account of her and sister nicole on the beach last week . the photo was shared with her 25,000 followers , which included an abusive commenter known as ` fatalsplash ' who was quick to judge and accused alexis of being a ` gold digger ' . it was n't long before fowler came to his girlfriend 's defense and responded to the troll that he ` might want to get your facts straight before you talk to my girl friend like that ' .",1,"The golfer's girlfriend, bikini model Alexis Randock, had posted a photo on her Instagram account of her and sister Nicole on the beach last week. | The photo was shared with her 25,000 followers, which included an abusive commenter known as 'fatalsplash' who was quick to judge and accused Alexis of being a 'gold digger.' | It wasn't long before Fowler came to his girlfriend's defense and responded to the troll that he 'might want to get your facts straight before you talk to my girl friend like that', reports the Golf Channel."
Frank,624,"Greece has denied it will fail to pay a multi-million pound loan following reports it has drawn up plans to introduce parallel drachma currency to pay domestic bills. The country is due to repay a £330million loan to the International Monetary Fund on Thursday but there were concerns the heavily indebted nation would default on the payment. Deputy finance minister Dimitris Mardas said that Greece will in fact make the payment on time. Greece has denied it will miss a repayment of £330million to the International Monetary Fund after reports it had drawn up plans to introduce a parallel drachma currency to pay its bills He said: 'We strive to be able to pay our obligations on time. We are ready to pay on April 9.' Sources close to the ruling Syriza party claimed the government was prioritising paying wages and pensions over any loans due, according to the Telegraph. It reported that the nation no longer has the funds to repay the debt unless the eurozone agrees to pay the next portion of its interim bail-out deal in time. A senior official told the newspaper: 'We are a Left-wing government. If we have to choose between a default to the IMF or a default to our own people, it is a no-brainer. 'We may have to go into a silent arrears process with the IMF. This will cause a furore in the markets and means that the clock will start to tick much faster.' German magazine Der Spiegel quoted a finance ministry general secretary, Nikos Theocharakis, as saying Greece would probably not pay next week's IMF tranche, prompting a further denial from the Greek finance ministry. Theocharakis said Greece would be 'close to the end' on April 9 and called the technical teams from its creditors 'completely useless,' according to an extract of the article due to be published on Saturday. 'Mr. Theocharakis never characterised the technical teams of the institutions with the phrase attributed to him,' the ministry said in a statement. 'On the contrary ... he referred to them as saying they include 'top-notch people with impressive skills.'' Deputy finance minister Dimitris Mardas (pictured) said that Greece will in fact make the payment on time Germany's Spiegel Online quoted Belgian Finance Minister Johan Van Overtveldt as saying that Greece postponing the repayment due on April 9 was 'out of the question', otherwise a Greek exit from the eurozone could no longer be ruled out. He said the Eurogroup would not release further funds to Greece until Athens implemented some of the reforms it had promised. Athens has not received bailout funds since August last year and has resorted to measures such as borrowing from state entities via repo transactions to tide it through the cash crunch. The government is hoping approval of its latest reforms package will unlock remaining aid of 7.2 billion euros under its EU/IMF bailout and lead to the return of about 1.9 billion euros in profits made by the European Central Bank on Greek bonds. Mardas said, without providing figures, that state revenue in March had topped targets and that the government had made progress in talks with lenders on its latest reforms list. German Chancellor Angela Merkel has said Greece would receive fresh funds only once its creditors approve the reforms Athens has presented.",deputy finance minister dimitris mardas said greece will in fact make the payment on time . greece has denied it will miss a repayment of £330million to the international monetary fund after reports it had drawn up plans to introduce a parallel drachma currency to pay its bills . sources close to the ruling syriza party claimed the government was prioritising paying wages and pensions over any loans .,1,Deputy finance minister Dimitris Mardas said that Greece will in fact make the payment on time. | Greece has denied it will miss a repayment of £330million to the International Monetary Fund after reports it had drawn up plans to introduce a parallel drachma currency to pay its bills | Sources close to the ruling Syriza party claimed the government was prioritising paying wages and pensions over any loans
